data,length_used,feature_extraction,feature_selection,model,accuracy,f1,recall,precision,roc_auc,notes
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(2, 3))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=1, metric='manhattan')",0.70605,0.69735,0.67615,0.72283,0.70613,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(2, 3))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=1, metric='cosine')",0.69507,0.70248,0.71943,0.69004,0.69503,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(2, 3))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=3, metric='euclidean')",0.72462,0.70417,0.65525,0.76479,0.77736,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(2, 3))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=3, metric='manhattan')",0.7176,0.69769,0.65059,0.75595,0.77286,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(2, 3))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=3, metric='cosine')",0.70499,0.70998,0.72168,0.70128,0.76875,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(2, 3))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=5, metric='euclidean')",0.72764,0.69962,0.63407,0.78471,0.78882,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(2, 3))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=5, metric='manhattan')",0.73276,0.69787,0.61735,0.80256,0.78608,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(2, 3))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=5, metric='cosine')",0.72836,0.71576,0.68311,0.7563,0.79413,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(3, 3))","PCA(n_components=500, random_state=42)","LogisticRegression(max_iter=1000, class_weight='balanced', random_state=42)",0.71067,0.6226,0.4773,0.89521,0.72869,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(3, 3))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=1, metric='euclidean')",0.5004,0.64873,0.92278,0.50021,0.50039,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(3, 3))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=1, metric='manhattan')",0.6177,0.61095,0.62798,0.73858,0.61416,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(3, 3))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=1, metric='cosine')",0.50334,0.65182,0.92993,0.5018,0.50334,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(3, 3))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=3, metric='euclidean')",0.50406,0.65163,0.92782,0.50218,0.48157,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(3, 3))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=3, metric='manhattan')",0.65604,0.59965,0.53419,0.81921,0.65666,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(3, 3))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=3, metric='cosine')",0.50923,0.65716,0.94084,0.50494,0.48948,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(3, 3))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=5, metric='euclidean')",0.50606,0.65363,0.9322,0.50327,0.46804,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(3, 3))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=5, metric='manhattan')",0.61706,0.61367,0.63445,0.73567,0.65247,
fake_reviews_dataset,,"CountVectorizer(binary=False, min_df=0.001, ngram_range=(3, 3))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=5, metric='cosine')",0.66141,0.61322,0.55137,0.81791,0.70835,
fake_reviews_dataset,,"CountVectorizer(binary=True, min_df=0.001, ngram_range=(1, 1))","PCA(n_components=500, random_state=42)","LogisticRegression(max_iter=1000, class_weight='balanced', random_state=42)",0.83273,0.83382,0.83945,0.82828,0.92026,
fake_reviews_dataset,,"CountVectorizer(binary=True, min_df=0.001, ngram_range=(1, 1))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=1, metric='euclidean')",0.64268,0.68891,0.79135,0.61002,0.64271,
fake_reviews_dataset,,"CountVectorizer(binary=True, min_df=0.001, ngram_range=(1, 1))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=1, metric='manhattan')",0.6412,0.68543,0.78189,0.61023,0.64125,
fake_reviews_dataset,,"CountVectorizer(binary=True, min_df=0.001, ngram_range=(1, 1))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=1, metric='cosine')",0.68916,0.73297,0.8533,0.64241,0.68916,
fake_reviews_dataset,,"CountVectorizer(binary=True, min_df=0.001, ngram_range=(1, 1))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=3, metric='euclidean')",0.65087,0.69833,0.80824,0.61483,0.72139,
fake_reviews_dataset,,"CountVectorizer(binary=True, min_df=0.001, ngram_range=(1, 1))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=3, metric='manhattan')",0.65018,0.6966,0.80321,0.61509,0.71617,
fake_reviews_dataset,,"CountVectorizer(binary=True, min_df=0.001, ngram_range=(1, 1))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=3, metric='cosine')",0.70298,0.74785,0.88102,0.64969,0.79392,
fake_reviews_dataset,,"CountVectorizer(binary=True, min_df=0.001, ngram_range=(1, 1))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=5, metric='euclidean')",0.65446,0.70338,0.81944,0.61624,0.74454,
fake_reviews_dataset,,"CountVectorizer(binary=True, min_df=0.001, ngram_range=(1, 1))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=5, metric='manhattan')",0.65057,0.69916,0.81212,0.61389,0.73628,
fake_reviews_dataset,,"CountVectorizer(binary=True, min_df=0.001, ngram_range=(1, 1))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=5, metric='cosine')",0.70899,0.75445,0.8942,0.65251,0.82696,
fake_reviews_dataset,,"CountVectorizer(binary=True, min_df=0.001, ngram_range=(1, 2))","PCA(n_components=500, random_state=42)","LogisticRegression(max_iter=1000, class_weight='balanced', random_state=42)",0.85051,0.85016,0.8484,0.85196,0.9358,
fake_reviews_dataset,,"CountVectorizer(binary=True, min_df=0.001, ngram_range=(1, 2))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=1, metric='euclidean')",0.66695,0.70077,0.78005,0.63617,0.66698,
fake_reviews_dataset,,"CountVectorizer(binary=True, min_df=0.001, ngram_range=(1, 2))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=1, metric='manhattan')",0.6618,0.6969,0.77766,0.63139,0.66183,
fake_reviews_dataset,,"CountVectorizer(binary=True, min_df=0.001, ngram_range=(1, 2))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=1, metric='cosine')",0.71273,0.74706,0.84855,0.66728,0.71271,
fake_reviews_dataset,,"CountVectorizer(binary=True, min_df=0.001, ngram_range=(1, 2))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=3, metric='euclidean')",0.67751,0.70811,0.78245,0.64672,0.74765,
fake_reviews_dataset,,"CountVectorizer(binary=True, min_df=0.001, ngram_range=(1, 2))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=3, metric='manhattan')",0.66991,0.70338,0.78278,0.63867,0.73858,
fake_reviews_dataset,,"CountVectorizer(binary=True, min_df=0.001, ngram_range=(1, 2))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=3, metric='cosine')",0.7288,0.76188,0.86782,0.67902,0.81603,
fake_reviews_dataset,,"CountVectorizer(binary=True, min_df=0.001, ngram_range=(1, 2))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=5, metric='euclidean')",0.68705,0.71568,0.78778,0.65579,0.77097,
fake_reviews_dataset,,"CountVectorizer(binary=True, min_df=0.001, ngram_range=(1, 2))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=5, metric='manhattan')",0.67919,0.71027,0.7865,0.6476,0.76248,
fake_reviews_dataset,,"CountVectorizer(binary=True, min_df=0.001, ngram_range=(1, 2))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=5, metric='cosine')",0.73702,0.76953,0.87824,0.68482,0.84735,
fake_reviews_dataset,,"CountVectorizer(binary=True, min_df=0.001, ngram_range=(1, 3))","PCA(n_components=500, random_state=42)","LogisticRegression(max_iter=1000, class_weight='balanced', random_state=42)",0.85163,0.85108,0.8482,0.854,0.93696,
fake_reviews_dataset,,"CountVectorizer(binary=True, min_df=0.001, ngram_range=(1, 3))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=1, metric='euclidean')",0.6688,0.70165,0.77899,0.63831,0.66881,
fake_reviews_dataset,,"CountVectorizer(binary=True, min_df=0.001, ngram_range=(1, 3))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=1, metric='manhattan')",0.66205,0.69632,0.77496,0.63224,0.66209,
fake_reviews_dataset,,"CountVectorizer(binary=True, min_df=0.001, ngram_range=(1, 3))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=1, metric='cosine')",0.7157,0.74829,0.84524,0.67133,0.71567,
fake_reviews_dataset,,"CountVectorizer(binary=True, min_df=0.001, ngram_range=(1, 3))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=3, metric='euclidean')",0.68117,0.70986,0.78016,0.6512,0.75067,
fake_reviews_dataset,,"CountVectorizer(binary=True, min_df=0.001, ngram_range=(1, 3))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=3, metric='manhattan')",0.6734,0.70522,0.78142,0.64263,0.74157,
fake_reviews_dataset,,"CountVectorizer(binary=True, min_df=0.001, ngram_range=(1, 3))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=3, metric='cosine')",0.73637,0.76641,0.86509,0.68797,0.82028,
fake_reviews_dataset,,"CountVectorizer(binary=True, min_df=0.001, ngram_range=(1, 3))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=5, metric='euclidean')",0.68851,0.71499,0.78143,0.65904,0.77277,
fake_reviews_dataset,,"CountVectorizer(binary=True, min_df=0.001, ngram_range=(1, 3))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=5, metric='manhattan')",0.6809,0.71046,0.78307,0.65027,0.76385,
fake_reviews_dataset,,"CountVectorizer(binary=True, min_df=0.001, ngram_range=(1, 3))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=5, metric='cosine')",0.74446,0.77367,0.87368,0.69422,0.85062,
fake_reviews_dataset,,"CountVectorizer(binary=True, min_df=0.001, ngram_range=(2, 2))","PCA(n_components=500, random_state=42)","LogisticRegression(max_iter=1000, class_weight='balanced', random_state=42)",0.78208,0.75988,0.6896,0.84615,0.85695,
fake_reviews_dataset,,"CountVectorizer(binary=True, min_df=0.001, ngram_range=(2, 2))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=1, metric='euclidean')",0.68856,0.69206,0.69825,0.68884,0.68811,
fake_reviews_dataset,,"CountVectorizer(binary=True, min_df=0.001, ngram_range=(2, 2))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=1, metric='manhattan')",0.68376,0.68772,0.69588,0.683,0.6841,
fake_reviews_dataset,,"CountVectorizer(binary=True, min_df=0.001, ngram_range=(2, 2))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=1, metric='cosine')",0.72465,0.71458,0.68941,0.74179,0.72466,
fake_reviews_dataset,,"CountVectorizer(binary=True, min_df=0.001, ngram_range=(2, 2))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=3, metric='euclidean')",0.7223,0.70284,0.65574,0.7611,0.77529,
fake_reviews_dataset,,"CountVectorizer(binary=True, min_df=0.001, ngram_range=(2, 2))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=3, metric='manhattan')",0.70815,0.6955,0.66554,0.73326,0.76663,
fake_reviews_dataset,,"CountVectorizer(binary=True, min_df=0.001, ngram_range=(2, 2))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=3, metric='cosine')",0.74547,0.72856,0.68317,0.78052,0.79581,
fake_reviews_dataset,,"CountVectorizer(binary=True, min_df=0.001, ngram_range=(2, 2))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=5, metric='euclidean')",0.73689,0.70171,0.619,0.81003,0.78947,
fake_reviews_dataset,,"CountVectorizer(binary=True, min_df=0.001, ngram_range=(2, 2))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=5, metric='manhattan')",0.72116,0.69258,0.62757,0.77622,0.78107,
fake_reviews_dataset,,"CountVectorizer(binary=True, min_df=0.001, ngram_range=(2, 2))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=5, metric='cosine')",0.75334,0.73074,0.66945,0.80443,0.80872,
fake_reviews_dataset,,"CountVectorizer(binary=True, min_df=0.001, ngram_range=(2, 3))","PCA(n_components=500, random_state=42)","LogisticRegression(max_iter=1000, class_weight='balanced', random_state=42)",0.78408,0.76056,0.68589,0.8536,0.85897,
fake_reviews_dataset,,"CountVectorizer(binary=True, min_df=0.001, ngram_range=(2, 3))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=1, metric='euclidean')",0.68869,0.69331,0.7025,0.68814,0.68885,
fake_reviews_dataset,,"CountVectorizer(binary=True, min_df=0.001, ngram_range=(2, 3))","PCA(n_components=500, random_state=42)","KNeighborsClassifier(n_neighbors=1, metric='manhattan')",0.68537,0.68991,0.69933,0.68385,0.68571,
